Date	Tavg	Rainfall
2007-01-07	24.34	0.12
2007-01-08	24.62	0.07
2007-01-09	24.62	0.06
2007-01-10	24.62	0.03
2007-01-11	24.63	0.24
2007-01-12	24.48	0.21
2007-01-13	24.52	0.17
2007-01-14	24.77	0.15
2007-01-15	24.45	0.1
2007-01-16	24.69	0.09
2007-01-17	24.97	0.21
2007-01-18	25.02	0.16
2007-01-19	24.73	0.33
2007-01-20	24.4	0.59
2007-01-21	24.41	0.53
2007-01-22	24.56	0.11
2007-01-23	24.49	0.08
2007-01-24	24.5	0.15
2007-01-25	24.6	0.16
2007-01-26	24.69	0.62
2007-01-27	24.76	0.59
2007-01-28	24.62	0.25
2007-01-29	24.34	0.08
2007-01-30	24.24	0.74
2007-01-31	24.2	0.45
2007-02-01	23.9	0.06
2007-02-02	23.78	0.03
2007-02-03	24.16	0.13
2007-02-04	24.42	0.28
2007-02-05	23.72	0.12
2007-02-06	23.5	0.31
2007-02-07	23.73	0.43
2007-02-08	23.67	1.33
2007-02-09	23.94	2.37
2007-02-10	24.19	1.12
2007-02-11	24.57	0.16
2007-02-12	24.56	0.15
2007-02-13	24.96	0.25
2007-02-14	25.05	0.13
2007-02-15	25	0.14
2007-02-16	24.93	0.24
2007-02-17	24.7	0.16
2007-02-18	24.46	0.13
2007-02-19	24.33	0.11
2007-02-20	24.4	0.09
2007-02-21	24.29	0.03
2007-02-22	23.99	0.23
2007-02-23	23.49	0.35
2007-02-24	23.43	0.21
2007-02-25	23.34	0.18
2007-02-26	23.47	0.13
2007-02-27	23.23	0.17
2007-02-28	23.09	0.13
2007-03-01	23.88	0.1
2007-03-02	24.24	0.09
2007-03-03	24.44	0.06
2007-03-04	24.45	0.13
2007-03-05	24.59	0.02
2007-03-06	24.77	0.05
2007-03-07	24.81	0.07
2007-03-08	24.78	0.15
2007-03-09	24.67	0.12
2007-03-10	24.89	0.11
2007-03-11	25.43	0.35
2007-03-12	25.71	0.22
2007-03-13	25.09	0.65
2007-03-14	25.35	0.46
2007-03-15	25.39	0.17
2007-03-16	24.86	0.13
2007-03-17	24.26	0.31
2007-03-18	24	0.33
2007-03-19	24.27	0.31
2007-03-20	24.46	0.26
2007-03-21	25.09	0.04
2007-03-22	25.47	0.15
2007-03-23	25.74	1.37
2007-03-24	25.78	0.52
2007-03-25	25.61	0.21
2007-03-26	25.5	0.27
2007-03-27	25.69	0.16
2007-03-28	25.44	0.16
2007-03-29	25.46	0.11
2007-03-30	25.23	0.14
2007-03-31	25.09	0.26
2007-04-01	24.75	0.46
2007-04-02	24.63	0.14
2007-04-03	24.66	0.39
2007-04-04	24.5	0.17
2007-04-05	24.72	0.08
2007-04-06	24.83	0.21
2007-04-07	24.49	0.45
2007-04-08	24.47	0.43
2007-04-09	25.21	0.3
2007-04-10	24.93	0.58
2007-04-11	24.88	0.37
2007-04-12	24.56	0.29
2007-04-13	24.43	0.26
2007-04-14	24.49	0.33
2007-04-15	24.74	0.1
2007-04-16	24.63	0.14
2007-04-17	24.27	0.31
2007-04-18	24.84	0.07
2007-04-19	25.94	0.09
2007-04-20	25.69	0.13
2007-04-21	25.56	0.58
2007-04-22	25.08	0.05
2007-04-23	25.18	0.06
2007-04-24	25.15	0.11
2007-04-25	25.29	0.09
2007-04-26	25.79	0.13
2007-04-27	26.01	0.23
2007-04-28	25.69	0.3
2007-04-29	25.43	0.37
2007-04-30	25.36	0.27
2007-05-01	25.46	0.29
2007-05-02	26.04	0.35
2007-05-03	26.2	0.22
2007-05-04	26.16	0.15
2007-05-05	26.14	0.12
2007-05-06	26.08	0.08
2007-05-07	25.73	0.09
2007-05-08	25.82	0.16
2007-05-09	25.77	0.06
2007-05-10	25.99	0.17
2007-05-11	26.71	0.63
2007-05-12	26	0.08
2007-05-13	25.8	0.11
2007-05-14	26.1	0.08
2007-05-15	26.19	0.1
2007-05-16	25.98	0.16
2007-05-17	26.05	0.06
2007-05-18	25.43	0.3
2007-05-19	25.5	0.03
2007-05-20	25.93	0.07
2007-05-21	26.58	1.93
2007-05-22	26.7	0.07
2007-05-23	26.17	0.13
2007-05-24	25.83	0.17
2007-05-25	25.73	0.43
2007-05-26	25.97	0.89
2007-05-27	26.53	0.27
2007-05-28	26.59	0.16
2007-05-29	26.04	0.25
2007-05-30	26.37	0.23
2007-05-31	25.97	0.91
2007-06-01	25.87	2.99
2007-06-02	25.74	2.2
2007-06-03	26.09	0.07
2007-06-04	26.61	1
2007-06-05	26.89	0.4
2007-06-06	26.93	0.71
2007-06-07	26.34	0.21
2007-06-08	26.32	0.15
2007-06-09	26.27	2.46
2007-06-10	26.7	0.43
2007-06-11	26.57	0.22
2007-06-12	26.8	0.28
2007-06-13	26.18	0.38
2007-06-14	25.71	1.35
2007-06-15	25.92	1.77
2007-06-16	26.09	0.12
2007-06-17	26.12	2.21
2007-06-18	25.91	3.38
2007-06-19	26.29	0.07
2007-06-20	25.97	0.98
2007-06-21	26.16	0.92
2007-06-22	26.44	0.24
2007-06-23	26.34	4.03
2007-06-24	26.3	3.13
2007-06-25	26.65	0.64
2007-06-26	26.61	0.21
2007-06-27	26.32	0.04
2007-06-28	26.36	0.06
2007-06-29	26.8	0.91
2007-06-30	26.59	1.07
2007-07-01	26.3	6.71
2007-07-02	26.57	1.01
2007-07-03	26.72	0.51
2007-07-04	26.08	1.01
2007-07-05	26.01	0.92
2007-07-06	26.58	0.35
2007-07-07	26.64	0.49
2007-07-08	26.38	6.95
2007-07-09	26.03	1
2007-07-10	26.37	0.31
2007-07-11	26.33	2.86
2007-07-12	26.33	3.39
2007-07-13	26.27	2.02
2007-07-14	26.04	1.41
2007-07-15	26.2	6.12
2007-07-16	26.01	3.99
2007-07-17	26.55	0.13
2007-07-18	26.56	1.33
2007-07-19	26.39	1.36
2007-07-20	26.47	0.1
2007-07-21	26.1	1.37
2007-07-22	26.28	4.01
2007-07-23	26.73	0.26
2007-07-24	27.07	0.11
2007-07-25	27.24	0.83
2007-07-26	26.65	1.49
2007-07-27	26.5	1.84
2007-07-28	26.75	0.35
2007-07-29	26.52	3.88
2007-07-30	26.57	0.61
2007-07-31	27.16	2.14
2007-08-01	26.81	1.69
2007-08-02	26.59	5.46
2007-08-03	26.39	7.6
2007-08-04	26.33	5.46
2007-08-05	26.12	2.44
2007-08-06	26.14	8.13
2007-08-07	26.43	5.2
2007-08-08	26.75	1.69
2007-08-09	26.35	6.54
2007-08-10	25.77	13.37
2007-08-11	26.54	4.77
2007-08-12	26.6	0.86
2007-08-13	26.86	0.36
2007-08-14	26.66	4.18
2007-08-15	26.62	0.85
2007-08-16	26.66	0.27
2007-08-17	26.58	0.77
2007-08-18	26.82	2.64
2007-08-19	26.83	1.32
2007-08-20	26.91	2.23
2007-08-21	26.56	2.03
2007-08-22	26.57	4.65
2007-08-23	26.61	2.94
2007-08-24	26.9	0.56
2007-08-25	26.76	2.22
2007-08-26	26.54	7.04
2007-08-27	26.41	6.77
2007-08-28	26.48	3.03
2007-08-29	26.39	2.83
2007-08-30	26.4	5.51
2007-08-31	26.14	14.71
2007-09-01	26.28	18.08
2007-09-02	26.13	7.13
2007-09-03	26.25	3.4
2007-09-04	25.8	16.21
2007-09-05	26.03	8.49
2007-09-06	26.32	2.41
2007-09-07	26.37	0.3
2007-09-08	26.1	1.72
2007-09-09	26.08	4.14
2007-09-10	26	4.05
2007-09-11	26.18	2.99
2007-09-12	25.96	4.59
2007-09-13	25.58	15.89
2007-09-14	26.2	2.34
2007-09-15	26.28	2.29
2007-09-16	26.09	5.65
2007-09-17	26.29	4.86
2007-09-18	26.32	2.26
2007-09-19	26.2	2.58
2007-09-20	26.23	5.09
2007-09-21	26.35	1.02
2007-09-22	26.38	1.27
2007-09-23	26.01	1.97
2007-09-24	26.16	1.79
2007-09-25	26.14	4.8
2007-09-26	26.09	11.5
2007-09-27	25.93	9.2
2007-09-28	26.3	2.15
2007-09-29	26.09	4.92
2007-09-30	25.84	6.1
2007-10-01	25.9	0.58
2007-10-02	25.72	2.88
2007-10-03	25.81	1.39
2007-10-04	25.77	2.39
2007-10-05	25.53	1.83
2007-10-06	25.43	1.78
2007-10-07	25.58	3.76
2007-10-08	25.64	9.5
2007-10-09	25.84	4.72
2007-10-10	25.67	0.13
2007-10-11	25.81	0.62
2007-10-12	25.64	1.38
2007-10-13	25.67	5.68
2007-10-14	25.98	1.78
2007-10-15	25.53	0.54
2007-10-16	25.66	9.95
2007-10-17	25.44	11.85
2007-10-18	25.83	0.15
2007-10-19	25.77	1.45
2007-10-20	25.83	0.43
2007-10-21	25.66	1.35
2007-10-22	25.77	1.14
2007-10-23	25.83	3.08
2007-10-24	26.09	1.37
2007-10-25	26.03	0.26
2007-10-26	25.27	0.28
2007-10-27	25.52	0.12
2007-10-28	25.7	2.06
2007-10-29	25.43	4.28
2007-10-30	25.55	0.87
2007-10-31	25.57	0.92
2007-11-01	25.52	1.38
2007-11-02	25.76	1.71
2007-11-03	25.6	1.93
2007-11-04	25.4	1.95
2007-11-05	25.37	2.88
2007-11-06	25.59	0.59
2007-11-07	25.58	0.13
2007-11-08	25.48	0.53
2007-11-09	25.58	1.84
2007-11-10	25.42	1.45
2007-11-11	25.69	0.19
2007-11-12	25.38	0.38
2007-11-13	25.26	3.28
2007-11-14	25.58	0.74
2007-11-15	25.42	0.18
2007-11-16	25.16	0.47
2007-11-17	25.14	1.34
2007-11-18	25.35	1.21
2007-11-19	25.3	0.76
2007-11-20	25.44	0.05
2007-11-21	25.41	0.03
2007-11-22	25.46	0.46
2007-11-23	25.75	3
2007-11-24	25.74	0.19
2007-11-25	25.53	0.19
2007-11-26	25.39	0.15
2007-11-27	25.25	0.14
2007-11-28	25.35	0.12
2007-11-29	25.59	1.97
2007-11-30	25.35	0.04
2007-12-01	25.17	1.9
2007-12-02	24.65	2.4
2007-12-03	24.9	1.9
2007-12-04	25.1	0.77
2007-12-05	25.3	1.49
2007-12-06	25.25	0.39
2007-12-07	25.32	0.09
2007-12-08	25.26	0.3
2007-12-09	25.01	0.29
2007-12-10	24.79	0.19
2007-12-11	24.8	0.15
2007-12-12	24.79	0.27
2007-12-13	24.5	0.89
2007-12-14	24.28	1.31
2007-12-15	24.18	0.9
2007-12-16	24.45	1.09
2007-12-17	24.57	2.33
2007-12-18	25.25	0.27
2007-12-19	24.84	0.26
2007-12-20	24.68	0.05
2007-12-21	24.56	0.05
2007-12-22	24.68	0.02
2007-12-23	24.48	0.56
2007-12-24	24.2	1.86
2007-12-25	23.81	5.42
2007-12-26	24.43	4.35
2007-12-27	24.71	0.09
2007-12-28	24.44	1.18
2007-12-29	24.39	1.14
2007-12-30	24.55	1.31
2007-12-31	24.9	1.13
2008-01-01	24.84	0.57
2008-01-02	24.62	0.04
2008-01-03	24.24	0.06
2008-01-04	24.16	0.51
2008-01-05	24.04	0.59
2008-01-06	24.1	0.37
2008-01-07	24.09	0.21
2008-01-08	23.71	0.33
2008-01-09	23.83	0.26
2008-01-10	24.15	1.23
2008-01-11	24.42	3.81
2008-01-12	24.55	0.78
2008-01-13	24.43	0.33
2008-01-14	24.43	0.32
2008-01-15	24.23	0.79
2008-01-16	23.87	1.49
2008-01-17	24.1	2.11
2008-01-18	23.93	2.69
2008-01-19	24.02	3.28
2008-01-20	24	2.16
2008-01-21	23.48	1.01
2008-01-22	23.26	1.75
2008-01-23	22.95	1.45
2008-01-24	22.93	1.7
2008-01-25	23.29	1.68
2008-01-26	23.42	2.73
2008-01-27	23.43	3.19
2008-01-28	23.6	4.69
2008-01-29	23.59	1.58
2008-01-30	23.65	0.67
2008-01-31	23.64	1.33
2008-02-01	23.94	1.33
2008-02-02	24	0.95
2008-02-03	24.65	0.29
2008-02-04	24.6	0.09
2008-02-05	24.54	0.08
2008-02-06	24.18	0.08
2008-02-07	24.23	0.03
2008-02-08	24.38	0.09
2008-02-09	24.34	0.15
2008-02-10	24.53	0.11
2008-02-11	24.43	0.39
2008-02-12	24.5	0.09
2008-02-13	23.98	0.01
2008-02-14	23.82	0.2
2008-02-15	23.74	0.08
2008-02-16	23.67	0.15
2008-02-17	23.73	0.34
2008-02-18	23.83	0.31
2008-02-19	23.79	0.29
2008-02-20	23.96	0.05
2008-02-21	24.25	0.61
2008-02-22	24.07	0.95
2008-02-23	24.3	0.71
2008-02-24	23.99	0.07
2008-02-25	23.86	0.1
2008-02-26	24.21	0.11
2008-02-27	24.8	0.04
2008-02-28	24.1	0.4
2008-02-29	24.45	0.13
2008-03-01	24.59	0.19
2008-03-02	24.62	0.12
2008-03-03	24.04	0.4
2008-03-04	24.39	0.18
2008-03-05	24.42	0.18
2008-03-06	24.06	0.13
2008-03-07	23.6	0.38
2008-03-08	24.36	0.17
2008-03-09	24.02	0.14
2008-03-10	23.72	0.19
2008-03-11	23.73	0.33
2008-03-12	23.88	0.17
2008-03-13	23.79	0.22
2008-03-14	23.53	0.14
2008-03-15	24.2	0.19
2008-03-16	24.5	0.22
2008-03-17	24.53	0.15
2008-03-18	24.61	0.08
2008-03-19	24.66	0.19
2008-03-20	24.45	0.26
2008-03-21	24.22	0.2
2008-03-22	24.36	0.07
2008-03-23	24.45	0.29
2008-03-24	24.9	0.11
2008-03-25	24.07	0.39
2008-03-26	24.41	0.26
2008-03-27	24.87	0.07
2008-03-28	24.81	0.15
2008-03-29	24.15	0.59
2008-03-30	24.45	0.37
2008-03-31	24.3	0.08
2008-04-01	24.48	0.11
2008-04-02	24.75	0.16
2008-04-03	24.57	0.34
2008-04-04	24.32	0.63
2008-04-05	24.27	0.43
2008-04-06	24.63	0.35
2008-04-07	24.06	0.3
2008-04-08	24.19	0.47
2008-04-09	24.12	0.58
2008-04-10	24.39	0.33
2008-04-11	24.08	0.42
2008-04-12	24.44	0.13
2008-04-13	24.73	0.1
2008-04-14	24.4	0.4
2008-04-15	24.03	0.37
2008-04-16	23.83	0.35
2008-04-17	24.32	0.32
2008-04-18	24.58	0.25
2008-04-19	24.35	0.34
2008-04-20	24.5	0.11
2008-04-21	24.34	0.29
2008-04-22	24.44	0.35
2008-04-23	24.64	0.08
2008-04-24	24.65	0.16
2008-04-25	24.63	0.16
2008-04-26	24.68	0.18
2008-04-27	24.32	0.13
2008-04-28	24.77	0.17
2008-04-29	25.15	0.12
2008-04-30	25.07	0.15
2008-05-01	24.94	0.11
2008-05-02	25.13	0.2
2008-05-03	25.28	0.12
2008-05-04	25.67	0.23
2008-05-05	26.18	0.31
2008-05-06	25.83	0.2
2008-05-07	25.33	0.07
2008-05-08	25.37	0.17
2008-05-09	25.43	0.13
2008-05-10	25.59	0.26
2008-05-11	25.78	0.5
2008-05-12	25.69	0.26
2008-05-13	25.9	0.34
2008-05-14	25.85	0.12
2008-05-15	25.82	0.13
2008-05-16	25.74	0.13
2008-05-17	25.8	0.17
2008-05-18	25.43	0.23
2008-05-19	25.41	0.07
2008-05-20	25.52	0.09
2008-05-21	25.5	0.21
2008-05-22	25.34	0.15
2008-05-23	25.87	0.28
2008-05-24	26.47	1.24
2008-05-25	26.31	0.11
2008-05-26	26.06	0.14
2008-05-27	26.06	0.24
2008-05-28	25.8	0.99
2008-05-29	26.49	0.24
2008-05-30	26.37	0.16
2008-05-31	26.8	0.18
2008-06-01	26.27	0.42
2008-06-02	26.36	3.75
2008-06-03	26.27	0.28
2008-06-04	25.91	0.99
2008-06-05	26.5	1.61
2008-06-06	26.47	0.1
2008-06-07	26.06	0.22
2008-06-08	26.08	0.15
2008-06-09	26.36	0.12
2008-06-10	26.68	0.24
2008-06-11	25.95	0.49
2008-06-12	25.77	1.18
2008-06-13	25.99	1.07
2008-06-14	26.16	1.84
2008-06-15	26.17	3.72
2008-06-16	26.13	3.52
2008-06-17	26.08	1.68
2008-06-18	26.26	1.27
2008-06-19	26.35	1.02
2008-06-20	26.35	3.83
2008-06-21	26.6	0.85
2008-06-22	26.66	0.49
2008-06-23	26.38	0.72
2008-06-24	26.49	5.95
2008-06-25	26.51	0.85
2008-06-26	26.45	0.05
2008-06-27	26.62	0.44
2008-06-28	26.87	0.31
2008-06-29	26.54	1.55
2008-06-30	26.56	0.89
2008-07-01	26.66	1.42
2008-07-02	26.7	1.83
2008-07-03	26.85	0.4
2008-07-04	26.99	0.7
2008-07-05	26.51	1.84
2008-07-06	26.65	3.08
2008-07-07	26.61	1.33
2008-07-08	26.52	0.53
2008-07-09	26.44	3.03
2008-07-10	26.34	3.12
2008-07-11	26.7	1.75
2008-07-12	26.68	1.73
2008-07-13	26.98	0.38
2008-07-14	26.92	0.4
2008-07-15	27.07	0.38
2008-07-16	26.68	1.1
2008-07-17	26.41	6.08
2008-07-18	26.18	6.47
2008-07-19	25.63	9.85
2008-07-20	26.31	0.33
2008-07-21	26.61	0.11
