Date	Temperature	Rainfall
1994-05-20	15.72	0.04
1994-05-21	16.22	0.02
1994-05-22	17.28	0
1994-05-23	17.5	0
1994-05-24	16.89	0
1994-05-25	18.44	0
1994-05-26	17.17	0.98
1994-05-27	15.89	0
1994-05-28	14.06	0
1994-05-29	16.61	0.31
1994-05-30	16.67	0.91
1994-05-31	14.72	0
1994-06-01	16.56	0
1994-06-02	14.33	0
1994-06-03	14.06	0
1994-06-04	16.44	0
1994-06-05	17.22	0.02
1994-06-06	16.61	0
1994-06-07	16.61	0
1994-06-08	16.44	0
1994-06-09	15.67	0
1994-06-10	18.11	0.2
1994-06-11	17.78	0
1994-06-12	16.39	0
1994-06-13	15.72	0
1994-06-14	16.72	0
1994-06-15	16.5	0
1994-06-16	17.33	0
1994-06-17	18.22	0
1994-06-18	15.83	0
1994-06-19	17.61	0
1994-06-20	16.5	0
1994-06-21	15.11	0.08
1994-06-22	17.22	0
1994-06-23	15.78	0
1994-06-24	15.28	0
1994-06-25	14.5	0
1994-06-26	14.94	0
1994-06-27	16.56	0
1994-06-28	15.06	0
1994-06-29	18.89	0.02
1994-06-30	14.83	0.24
1994-07-01	15.89	0.12
1994-07-02	16.11	0.02
1994-07-03	14.72	0.05
1994-07-04	15.06	0
1994-07-05	15.67	0
1994-07-06	14.56	0
1994-07-07	14.61	0
1994-07-08	19.17	0
1994-07-09	15.28	0
1994-07-10	14	0
1994-07-11	17.94	0
1994-07-12	17.61	0
1994-07-13	14.83	0
1994-07-14	16.56	0
1994-07-15	16.44	0
1994-07-16	16.28	0.04
1994-07-17	15.22	0
1994-07-18	14.5	0
1994-07-19	16.17	0
1994-07-20	13.78	0
1994-07-21	15.06	0
1994-07-22	15.89	0
1994-07-23	14.83	0
1994-07-24	16.28	0
1994-07-25	15.67	0
1994-07-26	15.06	0
1994-07-27	16.44	0
1994-07-28	15.22	0.24
1994-07-29	14.94	0
1994-07-30	14.06	0
1994-07-31	14.28	0
1994-08-01	15.17	0
1994-08-02	15.78	3.54
1994-08-03	15.28	0
1994-08-04	14.17	0
1994-08-05	15.72	0
1994-08-06	16.11	0
1994-08-07	15.28	0
1994-08-08	11.39	0
1994-08-09	14.2	0
1994-08-10	17	0
1994-08-11	16.56	0
1994-08-12	17.28	0
1994-08-13	21	0
1994-08-14	15.94	0.08
1994-08-15	19.72	0
1994-08-16	16.89	0
1994-08-17	18.72	0
1994-08-18	15.44	0.47
1994-08-19	15.89	0
1994-08-20	16	0
1994-08-21	17.06	0
1994-08-22	16.17	0
1994-08-23	16.06	0
1994-08-24	14.11	0
1994-08-25	15.11	0
1994-08-26	14.83	0
1994-08-27	15.72	0
1994-08-28	15.89	0
1994-08-29	17.67	0
1994-08-30	16.44	0
1994-08-31	15.56	0
1994-09-01	16.83	0
1994-09-02	16.44	0
1994-09-03	14.28	0
1994-09-04	14.39	0
1994-09-05	15.44	0
1994-09-06	15.06	0
1994-09-07	16.89	0
1994-09-08	16.39	0
1994-09-09	14.5	0
1994-09-10	15.5	0
1994-09-11	15.94	0
1994-09-12	17.17	0
1994-09-13	17.56	0
1994-09-14	20.28	0
1994-09-15	18.78	0
1994-09-16	17	0
1994-09-17	17.67	0
1994-09-18	17	0
1994-09-19	18.11	0
1994-09-20	17.56	0
1994-09-21	18.56	0
1994-09-22	17.39	0
1994-09-23	17.89	0
1994-09-24	18.11	0
1994-09-25	16.56	0
1994-09-26	18.78	0
1994-09-27	18.28	0
1994-09-28	20.67	0
1994-09-29	17.33	0
1994-09-30	20.44	0
1994-10-01	19.28	0
1994-10-02	18.33	0
1994-10-03	19.11	0
1994-10-04	18.78	0
1994-10-05	18.11	0
1994-10-06	17.28	0
1994-10-07	15.5	0.02
1994-10-08	17.56	0.31
1994-10-09	18.83	0.02
1994-10-10	19	0
1994-10-11	19.28	0
1994-10-12	19.22	0
1994-10-13	16.28	0.02
1994-10-14	18.44	0.35
1994-10-15	17.39	0.04
1994-10-16	17.17	0
1994-10-17	19.94	0
1994-10-18	19.94	0
1994-10-19	19.5	0
1994-10-20	19.33	0
1994-10-21	17.28	0
1994-10-22	15.83	0.04
1994-10-23	16.61	0.01
1994-10-24	17.11	0.04
1994-10-25	18.22	0
1994-10-26	17.5	0
1994-10-27	19.06	0
1994-10-28	17.28	0
1994-10-29	18.72	0
1994-10-30	21	0
1994-10-31	19	0
1994-11-01	19.11	0
1994-11-02	18.44	0.02
1994-11-03	21.67	0
1994-11-04	18	0
1994-11-05	18.17	0
1994-11-06	17.17	0.24
1994-11-07	17.17	0
1994-11-08	15.61	0.35
1994-11-09	17.72	0.71
1994-11-10	17.5	0.04
1994-11-11	18.44	0.24
1994-11-12	17.22	0.01
1994-11-13	17.22	0.39
1994-11-14	16.11	0.51
1994-11-15	17.28	0.08
1994-11-16	17.06	1.26
1994-11-17	16.5	0.12
1994-11-18	15.72	0.87
1994-11-19	18.11	0
1994-11-20	17.39	0
1994-11-21	17.56	0
1994-11-22	19.72	0.12
1994-11-23	17.39	0
1994-11-24	16.89	0
1994-11-25	16.33	0
1994-11-26	19.39	0
1994-11-27	17.61	0.12
1994-11-28	18.5	0
1994-11-29	17.06	0.04
1994-11-30	17.33	0.24
1994-12-01	17.33	0.02
1994-12-02	16.78	0.2
1994-12-03	17.78	0
1994-12-04	17.72	0
1994-12-05	18.67	0
1994-12-06	18.06	0.01
1994-12-07	18.17	0
1994-12-08	17	0
1994-12-09	15.78	0
1994-12-10	16.67	0
1994-12-11	17.94	0
1994-12-12	16.83	0
1994-12-13	16.89	0
1994-12-14	18.61	0.04
1994-12-15	18.06	0
1994-12-16	17.61	0
1994-12-17	19.22	0.24
1994-12-18	19.06	0.02
1994-12-19	18.11	0
1994-12-20	16.67	0
1994-12-21	16.67	0
1994-12-22	17.5	0
1994-12-23	17.17	0
1994-12-24	18.61	0
1994-12-25	15.89	0.31
1994-12-26	18	0.35
1994-12-27	18.44	0
1994-12-28	18.17	0
1994-12-29	18.33	0
1994-12-30	20.94	0
1994-12-31	18.22	0
1995-01-01	17.17	0.16
1995-01-02	17.39	0.02
1995-01-03	17.06	0.67
1995-01-04	18	0
1995-01-05	16.89	0
1995-01-06	16.33	0.04
1995-01-07	19.28	0
1995-01-08	17.67	0
1995-01-09	20.44	0
1995-01-10	18.83	0
1995-01-11	18.11	0
1995-01-12	17.83	0
1995-01-13	18.61	0
1995-01-14	18.89	0
1995-01-15	17.94	0.04
1995-01-16	20.61	0
1995-01-17	20.11	0
1995-01-18	16.83	0
1995-01-19	21	0
1995-01-20	18.28	0
1995-01-21	20.39	0
1995-01-22	20.89	0
1995-01-23	19.67	0
1995-01-24	20.28	0
1995-01-25	18.61	0.39
1995-01-26	17.33	0.08
1995-01-27	18.67	0.2
1995-01-28	17.11	0
1995-01-29	18.5	0.16
1995-01-30	19.06	0.2
1995-01-31	19.56	0
1995-02-01	19.94	0
1995-02-02	20.94	0
1995-02-03	19.22	0
1995-02-04	21.67	0
1995-02-05	27.44	0
1995-02-06	26.17	0
1995-02-07	21.17	0
1995-02-08	16.78	0.02
1995-02-09	17.11	0.31
1995-02-10	17.61	0.08
1995-02-11	18.67	0.47
1995-02-12	15.61	0.02
1995-02-13	17.17	0.55
1995-02-14	17.78	0
1995-02-15	16.11	0.08
1995-02-16	16.67	0.16
1995-02-17	16.28	0.08
1995-02-18	18.56	0
1995-02-19	19.17	0.43
1995-02-20	18.17	0
1995-02-21	19.39	0
1995-02-22	19.67	0
1995-02-23	17.61	0
1995-02-24	18.56	0
1995-02-25	19.06	0
1995-02-26	20.5	0
1995-02-27	19.5	0
1995-02-28	17.56	0
1995-03-01	21.56	0
1995-03-02	15.44	0.2
1995-03-03	16.33	0.28
1995-03-04	15.89	1.42
1995-03-05	17.61	0.2
1995-03-06	18.5	0
1995-03-07	20.78	0
1995-03-08	20.33	0.51
1995-03-09	17.11	0.08
1995-03-10	19.61	0.87
1995-03-11	21.22	0.08
1995-03-12	20.5	0
1995-03-13	17.28	0.12
1995-03-14	18.72	1.5
1995-03-15	17.89	0.08
1995-03-16	18.06	0
1995-03-17	18.11	0
1995-03-18	17.94	0
1995-03-19	18.5	0
1995-03-20	17.33	0
1995-03-21	17.22	0
1995-03-22	18.44	0.12
1995-03-23	18.44	0
1995-03-24	16.39	0
1995-03-25	17.94	0
1995-03-26	17.83	0
1995-03-27	17.89	0
1995-03-28	18.72	0
1995-03-29	19.89	0
1995-03-30	17.72	0.04
1995-03-31	16.56	0.12
1995-04-01	17.5	0
1995-04-02	18.78	0
1995-04-03	18.83	0
1995-04-04	17.28	0.47
1995-04-05	17.28	0.16
1995-04-06	18.17	0.04
1995-04-07	17.06	0
1995-04-08	18.78	0
1995-04-09	16.5	0.08
1995-04-10	17.94	0
1995-04-11	16.89	0.16
1995-04-12	18.83	0.12
1995-04-13	18.94	0.02
1995-04-14	18.94	0
1995-04-15	19.72	0
1995-04-16	21.28	0
1995-04-17	20.11	0
1995-04-18	18.22	0
1995-04-19	18.67	0
1995-04-20	19	0
1995-04-21	19.11	0
1995-04-22	19.11	0
1995-04-23	22.11	0
1995-04-24	19.94	0
1995-04-25	19.5	0
1995-04-26	20.5	0
1995-04-27	20.06	0
1995-04-28	18.89	0.04
1995-04-29	18.11	0.2
1995-04-30	17.89	0.43
1995-05-01	18.94	0.75
1995-05-02	17.78	0.71
1995-05-03	18.28	0
1995-05-04	18.28	0
1995-05-05	17.61	0.02
1995-05-06	16.44	0.94
1995-05-07	17.61	0.2
1995-05-08	19.72	0
1995-05-09	21	0.04
1995-05-10	15.11	2.27
1995-05-11	15.72	3.19
1995-05-12	20.22	0.16
1995-05-13	19.33	0
1995-05-14	20.11	0
1995-05-15	17.94	0
1995-05-16	15.78	0.12
1995-05-17	17.72	0.04
1995-05-18	17	0.01
1995-05-19	16.94	0.08
1995-05-20	17.94	0.39
1995-05-21	17	0
1995-05-22	16.72	0
1995-05-23	17.78	0
1995-05-24	16.61	0
1995-05-25	17.72	0
1995-05-26	17.11	0
1995-05-27	17.94	0
1995-05-28	18.17	0
1995-05-29	16.89	0
1995-05-30	18.22	0.02
1995-05-31	18.78	0
1995-06-01	19.06	0.02
1995-06-02	16.72	0
1995-06-03	17.5	0.24
1995-06-04	18.06	0
1995-06-05	16.5	0
1995-06-06	18.28	0
1995-06-07	16.72	0
1995-06-08	12.17	0
1995-06-09	16	0
1995-06-10	12	0
1995-06-11	17.67	0
1995-06-12	16.61	0
1995-06-13	18.06	0
1995-06-14	15.5	0
1995-06-15	18.83	0
1995-06-16	18.83	0
1995-06-17	17.5	0.59
1995-06-18	17.28	0
1995-06-19	18.78	0
1995-06-20	17.44	0
1995-06-21	17.94	0.08
1995-06-22	16.56	0
1995-06-23	15	0
1995-06-24	16.5	0
1995-06-25	15.94	0
1995-06-26	19	0
1995-06-27	12.28	0
1995-06-28	15.5	0.24
1995-06-29	15.22	0.16
1995-06-30	19.06	0.02
1995-07-01	16.61	0
1995-07-02	14.78	0.16
1995-07-03	16.05	0
1995-07-04	17.33	0
1995-07-05	12.89	0
1995-07-06	19.06	0
1995-07-07	17.06	0
1995-07-08	15.06	0
1995-07-09	14.67	0
1995-07-10	17.67	0
1995-07-11	16.56	0.08
1995-07-12	13.44	0
1995-07-13	15.39	0
1995-07-14	16.83	0
1995-07-15	15.78	0
1995-07-16	15.61	0
1995-07-17	15.78	0
1995-07-18	16.11	0
1995-07-19	14.72	0
1995-07-20	16.39	0
1995-07-21	17.33	0
1995-07-22	17.39	0
1995-07-23	18.11	0
1995-07-24	15.78	0
1995-07-25	15.5	0
1995-07-26	16.06	0
1995-07-27	16.89	0
1995-07-28	17.39	0
1995-07-29	17.17	0
1995-07-30	15.61	0
1995-07-31	15.72	0
1995-08-01	13.67	0
1995-08-02	16.39	0
1995-08-03	18.72	0
1995-08-04	17.22	0
1995-08-05	14.61	0
1995-08-06	18.72	0
1995-08-07	15.83	0
1995-08-08	15.72	0
1995-08-09	14.89	0
1995-08-10	17.33	0
1995-08-11	15.28	0.16
1995-08-12	14.83	0.71
1995-08-13	16.67	0
1995-08-14	16.06	0
1995-08-15	15.61	0
1995-08-16	14.61	0
1995-08-17	15.56	0
1995-08-18	16.89	0
1995-08-19	17.44	0
1995-08-20	17.67	0
1995-08-21	16.11	0.12
1995-08-22	15	0
1995-08-23	15.94	0
1995-08-24	16.89	0
1995-08-25	15.44	0
1995-08-26	14.83	0
1995-08-27	15.33	0
1995-08-28	17.11	0
1995-08-29	18.11	0
1995-08-30	18.72	0
1995-08-31	16.72	0
1995-09-01	19.39	0
1995-09-02	14.89	0
1995-09-03	18.44	0
1995-09-04	18.28	0
1995-09-05	16.78	0
1995-09-06	16.22	1.26
1995-09-07	18.61	0
1995-09-08	15.5	0
1995-09-09	19.06	0
1995-09-10	15.83	0
1995-09-11	15.39	0
1995-09-12	16.44	0
1995-09-13	17.67	0.08
1995-09-14	16.61	0
1995-09-15	19.89	0
1995-09-16	12.33	0
1995-09-17	19.44	0
1995-09-18	16.06	0
1995-09-19	14.72	0
1995-09-20	19	0.08
1995-09-21	17.17	0
1995-09-22	18.72	0
1995-09-23	18.61	0
1995-09-24	16.39	0
1995-09-25	16.56	0.39
1995-09-26	16.17	0.04
1995-09-27	16.67	0
1995-09-28	16.67	0
1995-09-29	17.94	0
1995-09-30	18.17	0.51
1995-10-01	17.33	0
1995-10-02	15.11	0.16
1995-10-03	15.11	0
1995-10-04	16.94	0.02
1995-10-05	15.67	0
1995-10-06	16.89	0.08
1995-10-07	19.22	0
1995-10-08	17.67	0
1995-10-09	18.83	0
1995-10-10	18.78	0
1995-10-11	18.39	0
1995-10-12	18.28	0
1995-10-13	19.17	0
1995-10-14	16.11	0
1995-10-15	19.67	0
1995-10-16	18.62	0
1995-10-17	17.56	0
1995-10-18	18	0
1995-10-19	14.5	0
1995-10-20	18.83	0.04
1995-10-21	19.72	0
1995-10-22	20.56	0
1995-10-23	18.22	0
1995-10-24	17.39	0
1995-10-25	17.5	0.12
1995-10-26	17.72	0.04
1995-10-27	16.61	0.35
1995-10-28	16.28	0
1995-10-29	17.22	0
1995-10-30	17.72	0.02
1995-10-31	15.5	0.08
1995-11-01	17.17	0.04
1995-11-02	19.44	0
1995-11-03	17.56	0
1995-11-04	19.5	0
1995-11-05	22.17	0
1995-11-06	17.28	0
1995-11-07	18.39	0
1995-11-08	13.33	0
1995-11-09	17.94	0
1995-11-10	15	0
1995-11-11	16.56	0
1995-11-12	15.72	0.08
1995-11-13	18.72	0
1995-11-14	17.83	0.16
1995-11-15	13.83	0
1995-11-16	14.67	0
1995-11-17	17.61	0.16
1995-11-18	19.83	0
1995-11-19	19.94	0
1995-11-20	15.94	0
1995-11-21	16.44	0.28
1995-11-22	17.22	0
1995-11-23	16.72	0.83
1995-11-24	18.78	0
1995-11-25	19.11	0
1995-11-26	18.89	0
1995-11-27	17.06	0
1995-11-28	14.89	0
1995-11-29	18.94	0
1995-11-30	16.5	0
1995-12-01	17.28	0
1995-12-02	17	0
1995-12-03	14.22	0
1995-12-04	16.56	0
1995-12-05	16.67	0
1995-12-06	18.11	0
1995-12-07	19.22	0
1995-12-08	15.78	0.16
1995-12-09	19	0
1995-12-10	18.28	0
1995-12-11	15.89	0
1995-12-12	14.22	0.01
1995-12-13	16.89	0
1995-12-14	17.78	0
1995-12-15	18.61	0
1995-12-16	19.22	0
1995-12-17	18.89	0
1995-12-18	17	0.02
1995-12-19	16.06	0
1995-12-20	19.33	0
1995-12-21	18.89	0
1995-12-22	17.06	0
1995-12-23	14.11	0.28
1995-12-24	14.67	0.08
1995-12-25	17.61	0
1995-12-26	17.61	0.04
1995-12-27	13.67	0.47
1995-12-28	14.47	0
1995-12-29	15.28	0.16
1995-12-30	19.56	0
1995-12-31	20	0
1996-01-01	27.67	0
1996-01-02	24.67	0
1996-01-03	15.22	0
1996-01-04	16.72	0
1996-01-05	15.5	0
1996-01-06	14.28	0
1996-01-07	17.72	0.71
1996-01-08	17.61	0.28
1996-01-09	20.78	0
1996-01-10	19.11	0
1996-01-11	17.22	0.12
1996-01-12	16.22	0.08
1996-01-13	14.33	0
1996-01-14	16.44	0.04
1996-01-15	22.67	0
1996-01-16	21.5	0
1996-01-17	17.56	0.01
1996-01-18	18.22	0
1996-01-19	21.89	0
1996-01-20	18.44	0
1996-01-21	17.61	0
1996-01-22	19.56	0.2
1996-01-23	16.22	0
1996-01-24	15.78	0
1996-01-25	14.33	0.02
1996-01-26	19	3.31
1996-01-27	19.56	0
1996-01-28	18.28	0.01
1996-01-29	16.94	0
1996-01-30	17.89	0.24
1996-01-31	18.61	0
1996-02-01	17.5	0.16
1996-02-02	17.56	0.12
1996-02-03	17.89	0
1996-02-04	21.83	0.01
1996-02-05	21.39	0.39
1996-02-06	16.28	1.02
1996-02-07	17.83	0.12
1996-02-08	19.72	0
1996-02-09	15	0.12
1996-02-10	17.67	0
1996-02-11	20.67	0.04
1996-02-12	17.17	0
1996-02-13	17.67	0.04
1996-02-14	19.5	0.51
1996-02-15	22.94	0.16
1996-02-16	18.33	0
1996-02-17	18.33	0.04
1996-02-18	16.83	0.39
1996-02-19	19.33	0.2
1996-02-20	19.33	0.02
1996-02-21	16.61	0.16
1996-02-22	18.28	0.43
1996-02-23	20.11	0
1996-02-24	18.72	0.04
1996-02-25	19.06	0.43
1996-02-26	19.83	0
1996-02-27	19.28	0
1996-02-28	18.33	0.2
1996-02-29	17.78	0
1996-03-01	16.78	0
1996-03-02	23.11	0
1996-03-03	21.17	0.01
1996-03-04	16.67	0
1996-03-05	17.5	0
1996-03-06	23.06	0
1996-03-07	22.5	0
1996-03-08	21.11	0
1996-03-09	17.22	0
1996-03-10	19.05	0
1996-03-11	20.89	0
1996-03-12	22.72	0
1996-03-13	24.56	0
1996-03-14	18.28	0
1996-03-15	16.67	0
1996-03-16	22.89	0.12
1996-03-17	21.28	0
1996-03-18	23.11	0
1996-03-19	18.94	0
1996-03-20	18.22	0
1996-03-21	19.5	0.71
1996-03-22	20.89	1.65
1996-03-23	19.78	0
1996-03-24	18.89	0
1996-03-25	18.67	0
1996-03-26	18.28	0
1996-03-27	17.11	0.79
1996-03-28	18.94	0.2
1996-03-29	18.22	1.73
1996-03-30	17.11	0.04
1996-03-31	16.28	0.08
1996-04-01	16.83	0.08
1996-04-02	16.39	0.12
1996-04-03	16.5	0
1996-04-04	17.28	0.24
1996-04-05	19.28	0.16
1996-04-06	20.72	0.51
1996-04-07	18.61	0
1996-04-08	17.22	0.47
1996-04-09	18.61	0.63
1996-04-10	18.56	0
1996-04-11	15.94	0
1996-04-12	17.17	0.39
1996-04-13	17.44	0.08
1996-04-14	19.33	0
1996-04-15	17.67	0
1996-04-16	17.83	0
1996-04-17	17.61	0
1996-04-18	16.89	0
1996-04-19	19.06	0
1996-04-20	17.94	0
1996-04-21	17.83	0
1996-04-22	17.22	0
1996-04-23	17.67	0
1996-04-24	16.61	0
1996-04-25	16.72	0
1996-04-26	18	0
1996-04-27	17.61	0
1996-04-28	19	0
1996-04-29	19.39	0.01
1996-04-30	17.89	0
1996-05-01	19.78	0.08
1996-05-02	19.28	0
1996-05-03	19.39	0
1996-05-04	19.5	0.04
1996-05-05	18.56	0
1996-05-06	18.5	0
1996-05-07	17.83	0
1996-05-08	18	0
1996-05-09	17.28	0
1996-05-10	17.67	0
1996-05-11	20.17	0
1996-05-12	18.89	0
1996-05-13	17.61	0.08
1996-05-14	17.52	0
1996-05-15	17.44	0
1996-05-16	17.89	0.08
1996-05-17	19	0
1996-05-18	16.72	0.02
1996-05-19	16.67	0
1996-05-20	16.11	0.04
1996-05-21	17.61	0.08
1996-05-22	16.33	0
1996-05-23	16.39	0.04
1996-05-24	17.56	0
1996-05-25	16.17	0
1996-05-26	17.94	0
1996-05-27	17	0.04
1996-05-28	18.39	0.01
1996-05-29	17.72	0
1996-05-30	16.39	0
1996-05-31	13.61	0
1996-06-01	17.78	0
1996-06-02	17.67	0
1996-06-03	17.56	0.2
1996-06-04	15.61	1.02
1996-06-05	16.44	0.04
1996-06-06	18.83	0
1996-06-07	18.89	0
1996-06-08	19.78	0
1996-06-09	15.94	0
1996-06-10	14.67	0.2
1996-06-11	17.61	0.24
1996-06-12	16.56	0
1996-06-13	15.5	0
1996-06-14	15.44	0
1996-06-15	15.83	0.39
1996-06-16	16.61	0
1996-06-17	17.83	0
1996-06-18	14.72	0
1996-06-19	14.61	0
1996-06-20	15.11	0
1996-06-21	15.44	0
1996-06-22	15.83	0
1996-06-23	16.28	0
1996-06-24	14.94	0
1996-06-25	16.22	0
1996-06-26	16.72	0
1996-06-27	17.11	0
1996-06-28	16.94	0
1996-06-29	15.61	0
1996-06-30	14.17	0
1996-07-01	13.61	0
1996-07-02	13.39	0
1996-07-03	14	0
1996-07-04	18.83	0
1996-07-05	16.11	0
1996-07-06	15.11	0
1996-07-07	14.44	0
1996-07-08	16.56	1.97
1996-07-09	17.83	0
1996-07-10	16.33	0
1996-07-11	16.67	0
1996-07-12	19.39	0
1996-07-13	15.83	0.08
1996-07-14	16.72	0.67
1996-07-15	16.11	0.04
1996-07-16	15.83	0.2
1996-07-17	14.06	0.12
1996-07-18	14.17	0.08
1996-07-19	13.61	0
1996-07-20	14.78	0
1996-07-21	13.56	0
1996-07-22	12.56	0
1996-07-23	15.72	0
1996-07-24	14.39	0
1996-07-25	14.17	0
1996-07-26	14.33	0
1996-07-27	12.72	0
1996-07-28	14	0
1996-07-29	15	0
1996-07-30	14.06	0
1996-07-31	15.5	0
1996-08-01	14.83	0
1996-08-02	15.56	0
1996-08-03	15.39	0
1996-08-04	16	0
1996-08-05	16.78	0
1996-08-06	15.78	0
1996-08-07	14.28	0
1996-08-08	15.56	0
1996-08-09	14.89	0
1996-08-10	15	0
1996-08-11	19.06	0
1996-08-12	14.83	0
1996-08-13	14.17	0
1996-08-14	17.5	0
1996-08-15	17.61	0
1996-08-16	16.44	0
1996-08-17	16.39	0
1996-08-18	15.33	0
1996-08-19	16.17	0
1996-08-20	14.89	0.31
1996-08-21	17.5	0.04
1996-08-22	14.17	0.24
1996-08-23	14.78	0
1996-08-24	15.39	0
1996-08-25	16.39	0
1996-08-26	18.11	0.12
1996-08-27	17.56	0
1996-08-28	17.94	0
1996-08-29	15.33	0.01
1996-08-30	15.78	0.43
1996-08-31	13.06	0
1996-09-01	16.94	0
1996-09-02	16.33	0
1996-09-03	17.22	0.04
1996-09-04	18.17	0.24
1996-09-05	19.44	0
1996-09-06	17.67	0
1996-09-07	12.61	0.12
1996-09-08	16.67	0
1996-09-09	14.61	0
1996-09-10	19.94	0
1996-09-11	18.17	0.12
1996-09-12	19.89	0
1996-09-13	17.61	0
1996-09-14	16.61	0
1996-09-15	16.89	0.24
1996-09-16	15	0.04
1996-09-17	16.61	0.16
1996-09-18	15.72	0
1996-09-19	15.56	0
1996-09-20	15.17	0
1996-09-21	16.94	0
1996-09-22	17.78	0
1996-09-23	14.56	0
1996-09-24	17.5	0
1996-09-25	17.44	0
1996-09-26	17.78	0
1996-09-27	18.61	0
1996-09-28	16.89	0
1996-09-29	18.33	0
1996-09-30	17.83	0
1996-10-01	17.11	0.12
1996-10-02	17.17	0.2
1996-10-03	17.72	0.08
1996-10-04	16.06	0
1996-10-05	18.89	0.02
1996-10-06	17.61	0
1996-10-07	16.44	0
1996-10-08	17.39	0
1996-10-09	16.78	0
1996-10-10	15.94	0
1996-10-11	18.33	0
1996-10-12	21.17	0
1996-10-13	21.78	0
1996-10-14	18.83	0
1996-10-15	17.28	0
1996-10-16	16.5	0
1996-10-17	19.67	0.02
1996-10-18	19	0
1996-10-19	18.11	0.04
1996-10-20	20.28	0
1996-10-21	15.17	0
1996-10-22	17.17	0
1996-10-23	18.17	0
1996-10-24	15.28	0
1996-10-25	20.89	0
1996-10-26	19.89	0
1996-10-27	19.28	0
1996-10-28	19.56	0
1996-10-29	17.94	0
1996-10-30	20.22	0
1996-10-31	17.78	0
1996-11-01	18	0
