K.maxValue	coverage.maxValue	proportion.bounds.logP	q.bounds.logP	maxMortality	slope	resistanceGain	R	fitnessPenalty
12504.5	0.563428	-2.74109	-4.93535	0.912507	6.10127	0.234063	43.9458	0.3713
16955.7	0.359757	-3.40451	-4.41792	0.986185	3.88894	0.302209	3.89893	0.127624
17211.4	0.883665	-5.64224	-5.92445	0.968031	8.57848	0.526093	22.6879	0.354935
18363.4	0.811469	-3.86461	-5.02809	0.94586	2.8844	0.757821	48.5699	0.214663
11637.9	0.734998	-5.25211	-5.58514	0.956373	1.09491	0.143225	32.6552	0.252361
12504.5	0.563428	-2.74109	-4.93535	0.912507	6.10127	0.234063	39.1408	0.0200462
16955.7	0.359757	-3.40451	-4.41792	0.986185	3.88894	0.302209	14.4385	0.309132
17211.4	0.212971	-2.17161	-4.14824	0.902596	6.70982	0.464307	21.1139	0.354935
18363.4	0.130738	-2.88884	-5.33136	0.938451	4.87773	0.649066	29.0247	0.214663
11637.9	0.499832	-4.7514	-5.78944	0.927499	2.48579	0.831554	6.89863	0.252361
12504.5	0.629747	-4.89832	-4.20351	0.922479	7.46711	0.712302	43.9458	0.0200462
16955.7	0.324584	-4.21684	-4.65962	0.974312	9.68877	0.358384	3.89893	0.309132
19734.5	0.883665	-2.17161	-4.14824	0.902596	6.70982	0.464307	21.1139	0.354935
10391.3	0.811469	-2.88884	-5.33136	0.938451	4.87773	0.649066	29.0247	0.214663
15617.4	0.734998	-4.7514	-5.78944	0.927499	2.48579	0.831554	6.89863	0.252361
14078.3	0.563428	-4.89832	-4.20351	0.922479	7.46711	0.712302	43.9458	0.0200462
13208.8	0.359757	-4.21684	-4.65962	0.974312	9.68877	0.358384	3.89893	0.309132
19734.5	0.212971	-5.64224	-4.14824	0.902596	6.70982	0.464307	21.1139	0.354935
10391.3	0.130738	-3.86461	-5.33136	0.938451	4.87773	0.649066	29.0247	0.214663
15617.4	0.499832	-5.25211	-5.78944	0.927499	2.48579	0.831554	6.89863	0.252361
14078.3	0.629747	-2.74109	-4.20351	0.922479	7.46711	0.712302	43.9458	0.0200462
13208.8	0.324584	-3.40451	-4.65962	0.974312	9.68877	0.358384	3.89893	0.309132
19734.5	0.212971	-2.17161	-5.92445	0.902596	6.70982	0.464307	21.1139	0.354935
10391.3	0.130738	-2.88884	-5.02809	0.938451	4.87773	0.649066	29.0247	0.214663
15617.4	0.499832	-4.7514	-5.58514	0.927499	2.48579	0.831554	6.89863	0.252361
14078.3	0.629747	-4.89832	-4.93535	0.922479	7.46711	0.712302	43.9458	0.0200462
13208.8	0.324584	-4.21684	-4.41792	0.974312	9.68877	0.358384	3.89893	0.309132
19734.5	0.212971	-2.17161	-4.14824	0.968031	6.70982	0.464307	21.1139	0.354935
10391.3	0.130738	-2.88884	-5.33136	0.94586	4.87773	0.649066	29.0247	0.214663
15617.4	0.499832	-4.7514	-5.78944	0.956373	2.48579	0.831554	6.89863	0.252361
14078.3	0.629747	-4.89832	-4.20351	0.912507	7.46711	0.712302	43.9458	0.0200462
13208.8	0.324584	-4.21684	-4.65962	0.986185	9.68877	0.358384	3.89893	0.309132
19734.5	0.212971	-2.17161	-4.14824	0.902596	8.57848	0.464307	21.1139	0.354935
10391.3	0.130738	-2.88884	-5.33136	0.938451	2.8844	0.649066	29.0247	0.214663
15617.4	0.499832	-4.7514	-5.78944	0.927499	1.09491	0.831554	6.89863	0.252361
14078.3	0.629747	-4.89832	-4.20351	0.922479	6.10127	0.712302	43.9458	0.0200462
13208.8	0.324584	-4.21684	-4.65962	0.974312	3.88894	0.358384	3.89893	0.309132
19734.5	0.212971	-2.17161	-4.14824	0.902596	6.70982	0.526093	21.1139	0.354935
10391.3	0.130738	-2.88884	-5.33136	0.938451	4.87773	0.757821	29.0247	0.214663
15617.4	0.499832	-4.7514	-5.78944	0.927499	2.48579	0.143225	6.89863	0.252361
14078.3	0.629747	-4.89832	-4.20351	0.922479	7.46711	0.234063	43.9458	0.0200462
13208.8	0.324584	-4.21684	-4.65962	0.974312	9.68877	0.302209	3.89893	0.309132
19734.5	0.212971	-2.17161	-4.14824	0.902596	6.70982	0.464307	22.6879	0.354935
10391.3	0.130738	-2.88884	-5.33136	0.938451	4.87773	0.649066	48.5699	0.214663
15617.4	0.499832	-4.7514	-5.78944	0.927499	2.48579	0.831554	32.6552	0.252361
14078.3	0.629747	-4.89832	-4.20351	0.922479	7.46711	0.712302	39.1408	0.0200462
13208.8	0.324584	-4.21684	-4.65962	0.974312	9.68877	0.358384	14.4385	0.309132
19734.5	0.212971	-2.17161	-4.14824	0.902596	6.70982	0.464307	21.1139	0.110037
10391.3	0.130738	-2.88884	-5.33136	0.938451	4.87773	0.649066	29.0247	0.0604124
15617.4	0.499832	-4.7514	-5.78944	0.927499	2.48579	0.831554	6.89863	0.169104
14078.3	0.629747	-4.89832	-4.20351	0.922479	7.46711	0.712302	43.9458	0.3713
13208.8	0.324584	-4.21684	-4.65962	0.974312	9.68877	0.358384	3.89893	0.127624
17211.4	0.883665	-5.64224	-5.92445	0.968031	8.57848	0.526093	22.6879	0.110037
18363.4	0.811469	-3.86461	-5.02809	0.94586	2.8844	0.757821	48.5699	0.0604124
11637.9	0.734998	-5.25211	-5.58514	0.956373	1.09491	0.143225	32.6552	0.169104
12504.5	0.563428	-2.74109	-4.93535	0.912507	6.10127	0.234063	39.1408	0.3713
16955.7	0.359757	-3.40451	-4.41792	0.986185	3.88894	0.302209	14.4385	0.127624
