date	Station	Tmin	Tmax	Tavg	I	egg.content	egg.outflowTotal	larva.content	larva.outflowTotal	pupa.content	pupa.outflowTotal	adult.content	adult.outflowTotal
2009/6/9	6135	3.075	15.4583	10.45	13.0833	5.24426e-05	99.9999	99.9997	0.000230702	0.000230702	4.7789e-28	4.7789e-28	0
2009/6/10	6135	10.0333	16.4083	13.425	11.9667	1.44793e-05	100	99.9991	0.000847054	0.000847054	1.4909e-25	1.4909e-25	0
2009/6/11	6135	7.675	12.2833	10.4917	4.75	6.09004e-06	100	99.9985	0.00152234	0.00152234	4.61632e-25	4.61632e-25	1.69006e-48
2009/6/12	6135	8.86667	11.9917	10.75	6.66667	2.40809e-06	100	99.9972	0.00279246	0.00279246	1.81442e-24	1.81442e-24	5.69263e-43
2009/6/13	6135	9.73333	16.2167	12.5417	27.7083	7.00528e-07	100	99.9933	0.00668379	0.00668379	9.39772e-23	9.39772e-23	1.33954e-40
2009/6/14	6135	8.60833	17.8833	13.25	24.375	1.82071e-07	100	99.9824	0.0176242	0.0176242	4.33568e-21	4.33568e-21	8.73813e-39
2009/6/15	6135	9.05	16.7167	12.475	27.5667	5.13021e-08	100	99.9632	0.0367978	0.0367978	4.97158e-20	4.97158e-20	2.61355e-37
2009/6/16	6135	5.89167	16.1417	11.6667	24.9667	1.6657e-08	100	99.9343	0.0656946	0.0656946	2.93149e-19	2.93149e-19	4.29732e-36
2009/6/17	6135	8.075	17.1083	12.7917	28.1833	4.23615e-09	100	99.87	0.130042	0.130042	4.17769e-18	4.17769e-18	4.40128e-35
2009/6/18	6135	11.9667	18.1167	14.6417	23	7.59304e-10	100	99.6889	0.311092	0.311092	1.57703e-16	1.57703e-16	3.0908e-34
2009/6/19	6135	10.1917	16.7333	13.0583	20.3917	1.74201e-10	100	99.4236	0.576365	0.576365	1.42086e-15	1.42086e-15	1.60035e-33
2009/6/20	6135	10.6417	17.7	13.5417	21.025	3.75931e-11	100	98.9405	1.05954	1.05954	1.32612e-14	1.32612e-14	6.45957e-33
2009/6/21	6135	8.68333	17.8	13.7833	26.325	7.55805e-12	100	98.124	1.87598	1.87598	1.14979e-13	1.14979e-13	2.13591e-32
2009/6/22	6135	7.58333	20.3667	14.625	21.7583	1.23459e-12	100	96.6535	3.34648	3.34648	1.3955e-12	1.3955e-12	6.42415e-32
2009/6/23	6135	8.325	21.2417	16.2583	29.3667	1.4557e-13	100	93.7733	6.22666	6.22666	4.62007e-11	4.62007e-11	2.49534e-31
2009/6/24	6135	12.9833	24.05	18.4167	30.375	1.08366e-14	100	87.9408	12.0592	12.0592	7.78299e-09	7.78299e-09	1.66651e-30
2009/6/25	6135	12.1167	23.3833	18.1417	19.3083	8.27958e-16	100	79.6381	20.3619	20.3619	5.32448e-07	5.32448e-07	1.67872e-29
2009/6/26	6135	15.6667	23.1167	18.4667	25.9083	5.644e-17	100	68.6523	31.3477	31.3476	1.68121e-05	1.68121e-05	2.78756e-28
2009/6/27	6135	12.2417	22	16.85	23.1167	5.08557e-18	100	58.0896	41.9104	41.9103	0.000169567	0.000169567	5.05063e-27
2009/6/28	6135	10.525	22.9083	17.0667	25.1833	4.22304e-19	100	46.961	53.039	53.0377	0.00127186	0.00127186	7.26798e-26
2009/6/29	6135	11.5	21.7167	17.2833	12.8417	3.22814e-20	100	36.1127	63.8873	63.8798	0.00741656	0.00741656	9.16816e-25
2009/6/30	6135	12.6083	26.275	20.4167	22.15	1.29472e-21	100	23.6411	76.3589	76.2988	0.0600598	0.0600598	1.29763e-23
2009/7/1	6135	15.8167	26.6083	21.1583	19.525	4.11545e-23	100	13.7871	86.2129	85.8495	0.363399	0.363399	1.94654e-22
2009/7/2	6135	14.5417	27.15	21.5667	27.175	1.12541e-24	100	7.19125	92.8088	91.2718	1.53698	1.53698	2.56529e-21
2009/7/3	6135	15.0417	27.75	21.7833	27.625	2.78575e-26	100	3.37782	96.6222	91.911	4.71122	4.71122	2.90198e-20
2009/7/4	6135	12.4417	27.25	20.975	25.675	8.33479e-28	100	1.53454	98.4655	87.8979	10.5676	10.5676	3.42032e-19
2009/7/5	6135	16.6917	23.4417	19.25	11.9333	3.49426e-29	100	0.725874	99.2741	81.0702	18.204	18.204	1.03754e-17
2009/7/6	6135	12.425	22.275	17.9083	16.8417	2.07703e-30	100	0.362249	99.6378	72.9577	26.68	26.68	6.58187e-16
2009/7/7	6135	12.55	21.8333	17.4333	22.9917	1.24194e-31	100	0.181115	99.8189	63.8903	35.9286	35.9286	3.16132e-14
2009/7/8	6135	12.5083	20.7917	16.7583	23.1333	8.86841e-33	100	0.0929282	99.9071	54.9551	44.9519	44.9519	9.63791e-13
2009/7/9	6135	13.1417	19.6	15.9667	26.125	7.79508e-34	100	0.0489476	99.9511	46.9835	52.9675	52.9675	1.91962e-11
2009/7/10	6135	12.1917	17.4833	14.525	12.0083	9.15676e-35	100	0.0288043	99.9712	41.1179	58.8533	58.8533	2.69883e-10
2009/7/11	6135	12.65	18.5833	15.225	22.8	8.72248e-36	100	0.0156788	99.9843	34.7074	65.2769	65.2769	2.89734e-09
2009/7/12	6135	12.6083	19.3417	16.125	20.5083	7.12878e-37	100	0.00768809	99.9923	27.8792	72.1131	72.1131	2.55853e-08
2009/7/13	6135	14.4333	20.9583	17.7583	21.85	3.57736e-38	100	0.00321653	99.9968	20.4702	79.5266	79.5266	1.98524e-07
2009/7/14	6135	13.5	23.9417	19.4583	25.1167	1.21908e-39	100	0.00109251	99.9989	13.3999	86.599	86.599	1.40298e-06
2009/7/15	6135	13.675	26.4917	20.15	22.1917	3.30167e-41	100	0.00034271	99.9997	8.02128	91.9784	91.9784	9.00001e-06
2009/7/16	6135	14.0667	24.5917	19.375	24.2833	1.11528e-42	100	0.000109187	99.9999	4.73767	95.2622	95.2622	5.12886e-05
2009/7/17	6135	11.1667	25.775	19.025	18.9083	4.12668e-44	100	3.5107e-05	100	2.70718	97.2928	97.2925	0.000255305
2009/7/18	6135	16.675	20.2167	17.9917	7.49167	2.04541e-45	100	1.24347e-05	100	1.58404	98.4159	98.4148	0.00110367
2009/7/19	6135	14.9083	20.25	17.075	13.375	1.16853e-46	100	4.81514e-06	100	0.951317	99.0487	99.0445	0.00415349
2009/7/20	6135	13.4167	19.5667	15.9917	15.5583	9.1282e-48	100	2.0202e-06	100	0.604298	99.3957	99.382	0.0137018
2009/7/21	6135	13.4833	22.0667	17.1833	25.9667	4.95962e-49	100	7.48955e-07	100	0.338463	99.6615	99.6216	0.0399787
2009/7/22	6135	11.4833	22.3	18.2167	11.225	2.21825e-50	100	2.3965e-07	100	0.167485	99.8325	99.7283	0.104182
2009/7/23	6135	15.7	22.3917	18.575	9.89167	8.82881e-52	100	7.17119e-08	100	0.076444	99.9236	99.6787	0.244864
2009/7/24	6135	13.5333	20.475	16.5833	13.6583	5.61486e-53	100	2.73557e-08	100	0.0406639	99.9593	99.4353	0.523999
2009/7/25	6135	12.475	20.3	16.4917	19.4083	3.64638e-54	100	1.04415e-08	100	0.0213015	99.9787	98.9486	1.03009
2009/7/26	6135	13.9583	20.025	16.5	19.075	2.34688e-55	100	3.93938e-09	100	0.0109136	99.9891	98.1135	1.87554
2009/7/27	6135	14.0083	24.7667	19.3417	14.5083	7.12113e-57	100	9.91522e-10	100	0.0040433	99.996	96.8092	3.18674
2009/7/28	6135	14	23.1833	18.3167	20.5167	2.94041e-58	100	2.8377e-10	100	0.00162849	99.9984	94.9108	5.08755
2009/7/29	6135	10.2417	24.0083	18.3833	16.425	1.1805e-59	100	7.91867e-11	100	0.000639406	99.9994	92.3198	7.67952
2009/7/30	6135	15.5833	20.9833	17.9417	16.55	5.3775e-61	100	2.32164e-11	100	0.000260564	99.9997	88.9759	11.0238
2009/7/31	6135	13.4417	21.3417	16.9833	23.3833	2.87945e-62	100	7.71498e-12	100	0.00011623	99.9999	84.8699	15.13
2009/8/1	6135	7.425	22.3167	16.4417	22.4417	1.81423e-63	100	2.74192e-12	100	5.47003e-05	99.9999	80.0457	19.9543
2009/8/2	6135	14.875	26.8	20.25	15.8833	4.52037e-65	100	5.81292e-13	100	1.57648e-05	100	74.593	25.407
2009/8/3	6135	16.2417	20.875	17.4833	10.2583	2.02239e-66	100	1.74017e-13	100	6.17608e-06	100	68.6346	31.3654
2009/8/4	6135	14.8333	21.3083	17.475	10.2583	9.01523e-68	100	5.16463e-14	100	2.36791e-06	100	62.3125	37.6875
2009/8/5	6135	12.5	25.525	19.0583	20.5667	2.78863e-69	100	1.18496e-14	100	7.1936e-07	100	55.7775	44.2225
2009/8/6	6135	12.1167	25.9	19.475	20.4	7.48052e-71	100	2.50258e-15	100	2.03625e-07	100	49.1824	50.8176
2009/8/7	6135	13.3833	25.1667	19.775	23.1417	1.80301e-72	100	5.31303e-16	100	5.3649e-08	100	42.6779	57.3221
2009/8/8	6135	15.6083	28.3083	21.45	20.2833	2.91991e-74	100	8.50614e-17	100	1.08386e-08	100	36.4084	63.5916
2009/8/9	6135	16.625	27.9583	21.875	19.2667	4.06825e-76	100	1.24516e-17	100	1.98095e-09	100	30.5065	69.4935
2009/8/10	6135	16.975	25.3333	20.8	13.15	7.99266e-78	100	2.14388e-18	100	4.07879e-10	100	25.085	74.915
2009/8/11	6135	15.2583	22.5333	18.3167	14.8917	2.99867e-79	100	5.12802e-19	100	1.20542e-10	100	20.2297	79.7703
2009/8/12	6135	15.0083	21.2917	17.55	12.1667	1.23807e-80	100	1.38023e-19	100	3.98213e-11	100	15.9933	84.0067
2009/8/13	6135	13.5333	21.3833	16.95	18.9583	6.20245e-82	100	4.06558e-20	100	1.40763e-11	100	12.393	87.607
2009/8/14	6135	12.85	20.2083	16.35	21.3417	3.75079e-83	100	1.30989e-20	100	5.451e-12	100	9.41269	90.5873
2009/8/15	6135	13.075	21.75	17.2167	11.05	1.70826e-84	100	3.65496e-21	100	1.81211e-12	100	7.00866	92.9913
2009/8/16	6135	14.9333	22.45	18.95	18.5333	5.1098e-86	100	7.54328e-22	100	4.54972e-13	100	5.11791	94.8821
2009/8/17	6135	15.7417	21.2167	17.3583	11.5083	2.20053e-87	100	2.02894e-22	100	1.45187e-13	100	3.66679	96.3332
2009/8/18	6135	13.4167	20	16.1	19.2333	1.41887e-88	100	6.26573e-23	100	5.71605e-14	100	2.57897	97.421
2009/8/19	6135	10.725	22.4667	16.825	20.7333	7.23515e-90	100	1.8214e-23	100	1.9803e-14	100	1.78164	98.2184
2009/8/20	6135	15.6333	28.3833	22.125	21.2583	8.62083e-92	100	2.25162e-24	100	2.90836e-15	100	1.20967	98.7903
2009/8/21	6135	17.9333	22.7583	19.575	9.84167	2.04351e-93	100	3.97544e-25	100	6.46928e-16	100	0.807665	99.1923
2009/8/22	6135	13.2417	20.6417	16.6417	17.6	1.09237e-94	100	1.16885e-25	100	2.28344e-16	100	0.530594	99.4694
2009/8/23	6135	7.575	21.2333	15.7583	20.6	7.70585e-96	100	3.73368e-26	100	9.16722e-17	100	0.343152	99.6568
2009/8/24	6135	13.7	23.3167	18.5417	21.075	2.54422e-97	100	7.82268e-27	100	2.36511e-17	100	0.218583	99.7814
2009/8/25	6135	14.6667	23.3167	18.8	12.2083	7.68958e-99	100	1.55262e-27	100	5.78716e-18	100	0.137198	99.8628
2009/8/26	6135	14.0583	21.2833	17.6083	16.5333	2.93682e-100	100	3.79614e-28	100	1.73248e-18	100	0.0848903	99.9151
2009/8/27	6135	15.1917	25.5917	20.525	18.1917	5.7849e-102	100	5.91373e-29	100	3.08899e-19	100	0.0517975	99.9482
2009/8/28	6135	16.8583	22.8833	18.325	8.03333	2.01771e-103	100	1.25651e-29	100	7.83497e-20	100	0.0311779	99.9688
2009/8/29	6135	13.7	18.3833	15.625	16.725	1.45908e-104	100	4.00417e-30	100	3.06079e-20	100	0.0185185	99.9815
2009/8/30	6135	12.1167	17.5417	14.6667	14.3917	1.25993e-105	100	1.50909e-30	100	1.4172e-20	100	0.010857	99.9891
2009/8/31	6135	12.4583	18.2333	16.3417	8.41667	7.23354e-107	100	4.49891e-31	100	4.88764e-21	100	0.00628457	99.9937
2009/9/1	6135	15.525	26.275	19.7083	17.4333	1.56891e-108	100	7.89752e-32	100	9.24307e-22	100	0.00359261	99.9964
2009/9/2	6135	14.975	26.4194	19.8167	18.0861	3.2627e-110	100	1.35151e-32	100	1.68056e-22	100	0.00202869	99.998
2009/9/3	6135	14.735	25.7861	19.6167	17.8528	7.24293e-112	100	2.17548e-33	100	3.13764e-23	100	0.00113187	99.9989
2009/9/4	6135	14.555	25.1528	19.4167	17.6194	1.71585e-113	100	3.61912e-34	100	6.04485e-24	100	0.000624093	99.9994
2009/9/5	6135	14.375	24.5194	19.2167	17.3861	4.33645e-115	100	6.22451e-35	100	1.20442e-24	100	0.000340151	99.9997
2009/9/6	6135	14.195	23.8861	19.0167	17.1528	1.16879e-116	100	1.10709e-35	100	2.39977e-25	100	0.000183298	99.9998
2009/9/7	6135	14.015	23.2528	18.8167	16.9194	3.35843e-118	100	2.03673e-36	100	4.93683e-26	100	9.76796e-05	99.9999
2009/9/8	6135	14	23.2	18.8	16.9	9.67467e-120	100	3.74047e-37	100	1.00789e-26	100	5.14879e-05	99.9999
2009/9/9	6135	15.1917	22.65	17.975	11.5833	3.64445e-121	100	8.01237e-38	100	2.4111e-27	100	2.68507e-05	100
2009/9/10	6135	11.5417	19.85	15.3333	14.675	2.44993e-122	100	2.58766e-38	100	9.21831e-28	100	1.38563e-05	100
2009/9/11	6135	9.36667	19.4167	14.3667	15.55	2.27428e-123	100	9.94717e-39	100	4.26217e-28	100	7.07743e-06	100
2009/9/12	6135	7.73333	17.6583	13.475	12.575	2.79519e-124	100	4.45459e-39	100	2.29513e-28	100	3.57874e-06	100
2009/9/13	6135	11.3583	17.5	14.775	13.4	2.26274e-125	100	1.58757e-39	100	9.7603e-29	100	1.79186e-06	100
2009/9/14	6135	11.7	19.0583	14.5333	13.5	1.98193e-126	100	5.90185e-40	100	4.34757e-29	100	8.88555e-07	100
2009/9/15	6135	10.4167	19.1083	13.7667	13.8667	2.21812e-127	100	2.50722e-40	100	2.20015e-29	100	4.36476e-07	100
2009/9/16	6135	7.09167	18.275	13.0583	15.7333	2.73072e-128	100	1.19916e-40	100	1.28026e-29	100	2.12431e-07	100
2009/9/17	6135	5.425	18.2917	12.175	13.15	4.49363e-129	100	6.3897e-41	100	8.68549e-30	100	1.02457e-07	100
2009/9/18	6135	4.475	18.9417	12.1	15.0083	7.56778e-130	100	3.44842e-41	100	5.97752e-30	100	4.89798e-08	100
2009/9/19	6135	8.15833	20.925	14.3917	15.1083	6.9088e-131	100	1.30852e-41	100	2.7233e-30	100	2.32125e-08	100
2009/9/20	6135	7.03333	22.0167	14.6	13.6333	5.88221e-132	100	4.77639e-42	100	1.18818e-30	100	1.09078e-08	100
2009/9/21	6135	8.45833	18.1583	13.8667	12.5833	6.34409e-133	100	1.98389e-42	100	5.85185e-31	100	5.08325e-09	100
2009/9/22	6135	13.55	18.9	15.6333	9.475	4.38688e-134	100	5.94864e-43	100	2.05427e-31	100	2.34968e-09	100
2009/9/23	6135	14.0917	18.0833	15.0667	8.83333	3.1796e-135	100	1.98397e-43	100	8.10061e-32	100	1.07749e-09	100
2009/9/24	6135	11.9	18.6417	14.0833	10.2667	3.19019e-136	100	7.90532e-44	100	3.7945e-32	100	4.90264e-10	100
2009/9/25	6135	10.5083	18.8833	14.4583	13.0583	2.83026e-137	100	2.94225e-44	100	1.68965e-32	100	2.21374e-10	100
2009/9/26	6135	13.425	16.5167	14.9583	4.31667	2.12108e-138	100	9.97485e-45	100	6.78999e-33	100	9.92144e-11	100
2009/9/27	6135	14.25	16.575	15.1833	4.05	1.4694e-139	100	3.23651e-45	100	2.60263e-33	100	4.41409e-11	100
2009/9/28	6135	14.2083	17.5167	14.925	4.83333	1.11098e-140	100	1.10104e-45	100	1.05232e-33	100	1.94981e-11	100
2009/9/29	6135	10.5333	13.2	11.5083	10.95	2.22906e-141	100	6.53455e-46	100	8.07343e-34	100	8.55246e-12	100
2009/9/30	6135	6.53333	12.9833	10.5583	8.475	5.39843e-142	100	4.52868e-46	100	7.33166e-34	100	3.72567e-12	100
2009/10/1	6135	8.85833	13.0917	10.5	10.675	1.332e-142	100	3.16703e-46	100	6.72841e-34	100	1.6121e-12	100
2009/10/2	6135	7.08333	11.8167	8.75833	10.35	5.51262e-143	100	2.85235e-46	100	6.72841e-34	100	6.92971e-13	100
2009/10/3	6135	6.80833	13.35	11.1667	2.23333	1.22385e-143	100	1.79147e-46	100	5.49862e-34	100	2.9596e-13	100
2009/10/4	6135	10.0083	12.95	11.2167	9.38333	2.67608e-144	100	1.11564e-46	100	4.45276e-34	100	1.25604e-13	100
2009/10/5	6135	7.91667	13.175	10.1917	10.2833	7.2774e-145	100	8.1801e-47	100	4.3123e-34	100	5.2977e-14	100
2009/10/6	6135	6.14167	14.4833	11.3833	11.2167	1.51281e-145	100	4.95222e-47	100	3.3864e-34	100	2.22093e-14	100
2009/10/7	6135	10.95	15.3333	12.05	8.55	2.55778e-146	100	2.66966e-47	100	2.34016e-34	100	9.25561e-15	100
2009/10/8	6135	5.25833	13.5667	9.16667	8.11667	9.43744e-147	100	2.26071e-47	100	2.34016e-34	100	3.83486e-15	100
2009/10/9	6135	6.80833	11.3833	8.16667	9.75	4.33337e-147	100	2.21123e-47	100	2.34016e-34	100	1.57986e-15	100
2009/10/10	6135	3.24167	10.65	7.55	4.49167	2.37536e-147	100	2.21123e-47	100	2.34016e-34	100	6.47245e-16	100
2009/10/11	6135	6.84167	10.6	8.325	5.1	1.03924e-147	100	2.11685e-47	100	2.34016e-34	100	2.63722e-16	100
2009/10/12	6135	6.375	9.775	6.93333	8.95833	6.70328e-148	100	2.11685e-47	100	2.34016e-34	100	1.06881e-16	100
2009/10/13	6135	3.36667	8.23333	5.51667	8.93333	5.99791e-148	100	2.11685e-47	100	2.34016e-34	100	4.30904e-17	100
2009/10/14	6135	-0.566667	7.36667	3.65833	10.7333	5.99791e-148	100	2.11685e-47	100	2.34016e-34	100	1.72836e-17	100
2009/10/15	6135	1.025	8.4	4.325	10.8083	5.99791e-148	100	2.11685e-47	100	2.34016e-34	100	6.89769e-18	100
2009/10/16	6135	-0.175	7.03333	4.30833	3.28333	5.99791e-148	100	2.11685e-47	100	2.34016e-34	100	2.73929e-18	100
2009/10/17	6135	3.36667	9.28333	6.68333	6.35833	4.1178e-148	100	2.11685e-47	100	2.34016e-34	100	1.08263e-18	100
2009/10/18	6135	0.858333	9.86667	5.89167	8.71667	3.36995e-148	100	2.11685e-47	100	2.34016e-34	100	4.25863e-19	100
2009/10/19	6135	3.625	10.6333	8.18333	4.86667	1.53907e-148	100	2.06589e-47	100	2.34016e-34	100	1.66745e-19	100
2009/10/20	6135	6.925	10.3333	7.66667	8.075	8.16566e-149	100	2.06589e-47	100	2.34016e-34	100	6.49933e-20	100
2009/10/21	6135	2.89167	9.84167	6.59167	2.71667	5.73257e-149	100	2.06589e-47	100	2.34016e-34	100	2.52207e-20	100
2009/10/22	6135	5.61667	9.8	8.15	2.38333	2.64396e-149	100	2.02519e-47	100	2.34016e-34	100	9.74444e-21	100
2009/10/23	6135	6.90833	8.60833	7.65833	1.20833	1.40583e-149	100	2.02519e-47	100	2.34016e-34	100	3.74893e-21	100
2009/10/24	6135	7	8.59167	7.6	1.19167	7.597e-150	100	2.02519e-47	100	2.34016e-34	100	1.4363e-21	100
2009/10/25	6135	6.63333	12.6333	9.89167	2.85	2.26171e-150	100	1.55329e-47	100	2.34016e-34	100	5.48031e-22	100
2009/10/26	6135	9.1875	11.5625	10.675	1.46667	5.24704e-151	100	1.05541e-47	100	2.08015e-34	100	2.08269e-22	100
2009/10/27	6135	8.725	10.2542	8.975	2.64583	2.04043e-151	100	9.20195e-48	100	2.08015e-34	100	7.88383e-23	100
2009/10/28	6135	5.25	8.57083	7.36667	1.35833	1.17473e-151	100	9.20195e-48	100	2.08015e-34	100	2.97288e-23	100
