iteration	step	egg.content	n1.content	n2.content	n3.content	n4.content	n5.content	preoviposition.content	adults.content	oviposition.content
1	32	0	0	0	0	0	0	0	10.3127	10.3127
1	33	0	0	0	0	0	0	0	10.3127	10.3127
1	34	0	0	0	0	0	0	0	10.3127	10.3127
1	35	0	0	0	0	0	0	0	10.3127	10.3127
1	36	0	0	0	0	0	0	0	10.3127	10.3127
1	37	0	0	0	0	0	0	0	10.3127	10.3127
1	38	0	0	0	0	0	0	0	10.3127	10.3127
1	39	0	0	0	0	0	0	0	10.3127	10.3127
1	40	0	0	0	0	0	0	0	10.3127	10.3127
1	41	0	0	0	0	0	0	0	10.3127	10.3127
1	42	0	0	0	0	0	0	0	10.3127	10.3127
1	43	0	0	0	0	0	0	0	10.3127	10.3127
1	44	0	0	0	0	0	0	0	10.3127	10.4255
1	45	0	0	0	0	0	0	0	10.3127	10.4255
1	46	0	0	0	0	0	0	0	10.3127	10.4255
1	47	0	0	0	0	0	0	0	10.3127	10.4255
1	48	0	0	0	0	0	0	0	10.3127	10.4255
1	49	0	0	0	0	0	0	0	10.3127	10.4255
1	50	0	0	0	0	0	0	0	10.3127	10.4255
1	51	0	0	0	0	0	0	0	10.3127	10.4255
1	52	0	0	0	0	0	0	0	10.3127	10.4255
1	53	0	0	0	0	0	0	0	10.3127	10.4255
1	54	0	0	0	0	0	0	0	10.3127	10.4255
1	55	0	0	0	0	0	0	0	10.3127	10.5679
1	56	0	0	0	0	0	0	0	10.3127	10.8856
1	57	0	0	0	0	0	0	0	10.3127	11.1087
1	58	0	0	0	0	0	0	0	10.3127	11.1087
1	59	0	0	0	0	0	0	0	10.3127	11.1087
1	60	0	0	0	0	0	0	0	10.3127	11.1087
1	61	0	0	0	0	0	0	0	10.3127	11.1087
1	62	0	0	0	0	0	0	0	10.3127	11.1087
1	63	0	0	0	0	0	0	0	10.3127	11.1087
1	64	0	0	0	0	0	0	0	10.3127	11.2756
1	65	1.77954e-315	0	0	0	0	0	0	10.3127	11.2756
1	66	1.29938e-315	0	0	0	0	0	0	10.3127	11.2756
1	67	2.18521e-315	0	0	0	0	0	0	10.3127	11.2756
1	68	3.63431e-315	0	0	0	0	0	0	10.3127	11.2756
1	69	5.9804e-315	0	0	0	0	0	0	10.3127	11.2756
1	70	9.74111e-315	0	0	0	0	0	0	10.3127	11.2756
1	71	1.57122e-314	0	0	0	0	0	0	10.3127	11.2756
1	72	2.51064e-314	0	0	0	0	0	0	10.3127	11.2756
1	73	3.97567e-314	0	0	0	0	0	0	10.3127	11.2756
1	74	6.24114e-314	0	0	0	0	0	0	10.3127	11.2756
1	75	9.71598e-314	0	0	0	0	0	0	10.3127	11.2756
1	76	1.50042e-313	0	0	0	0	0	0	10.3127	11.2756
1	77	2.29914e-313	0	0	0	0	0	0	10.3127	11.2756
1	78	3.49677e-313	0	0	0	0	0	0	10.3127	11.2756
1	79	5.27993e-313	0	0	0	0	0	0	10.3127	12.091
1	80	2.61899e-288	0	0	0	0	0	0	10.3127	12.091
1	81	1.20442e-288	0	0	0	0	0	0	10.3127	12.091
1	82	1.72415e-288	0	0	0	0	0	0	10.3127	12.091
1	83	2.45398e-288	0	0	0	0	0	0	10.3127	12.091
1	84	3.47331e-288	0	0	0	0	0	0	10.3127	12.091
1	85	4.88953e-288	0	0	0	0	0	0	10.3127	12.091
1	86	6.84723e-288	0	0	0	0	0	0	10.3127	12.091
1	87	9.54017e-288	0	0	0	0	0	0	10.3127	12.091
1	88	1.32268e-287	0	0	0	0	0	0	10.3127	12.091
1	89	1.82506e-287	0	0	0	0	0	0	10.3127	12.091
1	90	2.50658e-287	0	0	0	0	0	0	10.3127	12.091
1	91	3.42708e-287	0	0	0	0	0	0	10.3127	12.091
1	92	4.66511e-287	0	0	0	0	0	0	10.3127	12.091
1	93	6.32336e-287	0	0	0	0	0	0	10.3127	12.091
1	94	8.53554e-287	0	0	0	0	0	0	10.3127	12.091
1	95	1.14752e-286	0	0	0	0	0	0	10.3127	12.091
1	96	1.53669e-286	0	0	0	0	0	0	10.3127	12.1571
1	97	8.19987e-275	0	0	0	0	0	0	10.3127	12.1571
1	98	2.69821e-275	0	0	0	0	0	0	10.3127	12.1571
1	99	3.53356e-275	0	0	0	0	0	0	10.3127	12.1571
1	100	4.61174e-275	0	0	0	0	0	0	10.3127	12.1571
1	101	5.99886e-275	0	0	0	0	0	0	10.3127	12.1571
1	102	7.77787e-275	0	0	0	0	0	0	10.3127	12.1571
1	103	1.00525e-274	0	0	0	0	0	0	10.3127	12.1571
1	104	1.29523e-274	0	0	0	0	0	0	10.3127	12.1571
1	105	1.66381e-274	0	0	0	0	0	0	10.3127	12.1571
1	106	2.13099e-274	0	0	0	0	0	0	10.3127	12.1571
1	107	2.72149e-274	0	0	0	0	0	0	10.3127	12.1571
1	108	3.46585e-274	0	0	0	0	0	0	10.3127	12.1571
1	109	4.40168e-274	0	0	0	0	0	0	10.3127	12.1571
1	110	5.57519e-274	0	0	0	0	0	0	10.3127	12.1571
1	111	7.04302e-274	0	0	0	0	0	0	10.3127	12.1571
1	112	8.87444e-274	0	0	0	0	0	0	10.3127	12.1571
1	113	1.1154e-273	0	0	0	0	0	0	10.3127	12.4561
1	114	2.51724e-261	0	0	0	0	0	0	10.3127	12.4561
1	115	6.31233e-262	0	0	0	0	0	0	10.3127	12.4561
1	116	7.80249e-262	0	0	0	0	0	0	10.3127	12.4561
1	117	9.62305e-262	0	0	0	0	0	0	10.3127	12.4561
1	118	1.18426e-261	0	0	0	0	0	0	10.3127	12.4561
1	119	1.45431e-261	0	0	0	0	0	0	10.3127	12.4561
1	120	1.78222e-261	0	0	0	0	0	0	10.3127	12.4561
1	121	2.1796e-261	0	0	0	0	0	0	10.3127	12.4561
1	122	2.66024e-261	0	0	0	0	0	0	10.3127	12.4561
1	123	3.2405e-261	0	0	0	0	0	0	10.3127	13.4451
1	124	6.83168e-237	0	0	0	0	0	0	10.3127	13.6288
1	125	1.37124e-225	0	0	0	0	0	0	10.3127	13.6288
1	126	2.58083e-226	0	0	0	0	0	0	10.3127	13.7033
1	127	1.21398e-214	0	0	0	0	0	0	10.3127	14.2275
1	128	5.91995e-203	0	0	0	0	0	0	10.3127	15.0357
1	129	6.08284e-180	0	0	0	0	0	0	10.3127	16.1868
1	130	8.20263e-157	0	0	0	0	0	0	10.3127	17.6795
1	131	1.11182e-133	0	0	0	0	0	0	10.3127	19.5884
1	132	1.347e-110	0	0	0	0	0	0	10.3127	20.3378
1	133	2.83581e-99	0	0	0	0	0	0	10.3127	21.5217
1	134	4.51473e-77	0	0	0	0	0	0	10.3127	23.0171
1	135	4.6799e-55	0	0	0	0	0	0	10.3127	25.3371
1	136	2.91336e-33	0	0	0	0	0	0	10.3127	27.7822
1	137	5.10099e-21	0	0	0	0	0	0	10.3127	31.1025
1	138	3.7122e-18	0	0	0	0	0	0	10.3127	33.8374
1	139	4.044e-16	0	0	0	0	0	0	10.3127	34.762
1	140	1.71594e-15	0	0	0	0	0	0	10.3127	37.1774
1	141	5.22913e-14	0	0	0	0	0	0	10.3127	38.6506
1	142	2.047e-13	0	0	0	0	0	0	10.3127	39.8124
1	143	6.46933e-13	0	0	0	0	0	0	10.3127	40.9547
1	144	1.92869e-12	0	0	0	0	0	0	10.3127	42.0179
1	145	6.86066e-12	0	0	0	0	0	0	10.3127	42.5346
1	146	1.27098e-11	0	0	0	0	0	0	10.3127	44.5687
1	147	5.03552e-11	0	0	0	0	0	0	10.3127	45.2995
1	148	9.44534e-11	0	0	0	0	0	0	10.3127	47.7455
1	149	4.92036e-10	5.79962e-25	0	0	0	0	0	10.3127	49.9636
1	150	1.48103e-9	1.22889e-19	0	0	0	0	0	10.3127	52.8017
